Sex,Age,Location,2017,2018,2019,avg_mortality
Female,(20-24),Stara Zagora,3.0,4.0,3.0,3.33
Female,(20-24),Targovishte,0.0,1.0,1.0,0.67
Female,(20-24),Varna,6.0,4.0,2.0,4.0
Female,(20-24),Veliko Tarnovo,2.0,3.0,0.0,1.67
Female,(20-24),Vidin,2.0,0.0,1.0,1.0
Female,(20-24),Vratsa,1.0,3.0,1.0,1.67
Female,(20-24),Yambol,0.0,1.0,3.0,1.33
Female,(25-29),Blagoevgrad,2.0,5.0,3.0,3.33
Female,(25-29),Burgas,8.0,2.0,7.0,5.67
Female,(25-29),Dobrich,2.0,2.0,1.0,1.67
Female,(25-29),Gabrovo,4.0,1.0,0.0,1.67
Female,(25-29),Haskovo,2.0,4.0,2.0,2.67
Female,(25-29),Kardzhali,1.0,2.0,2.0,1.67
Female,(25-29),Kyustendil,1.0,2.0,1.0,1.33
Female,(25-29),Lovech,3.0,3.0,1.0,2.33
Female,(25-29),Montana,3.0,1.0,3.0,2.33
Female,(25-29),Pazardzhik,2.0,0.0,3.0,1.67
Female,(25-29),Pernik,0.0,1.0,2.0,1.0
Female,(25-29),Pleven,3.0,2.0,2.0,2.33
Female,(25-29),Plovdiv,13.0,11.0,10.0,11.33
Female,(25-29),Razgrad,1.0,2.0,3.0,2.0
Female,(25-29),Ruse,0.0,4.0,1.0,1.67
Female,(25-29),Shumen,1.0,4.0,2.0,2.33
Female,(25-29),Silistra,2.0,0.0,1.0,1.0
Female,(25-29),Sliven,5.0,5.0,3.0,4.33
Female,(25-29),Smolyan,0.0,2.0,0.0,0.67
Female,(25-29),Sofia,3.0,0.0,3.0,2.0
Female,(25-29),Sofia (stolitsa),12.0,12.0,11.0,11.67
Female,(25-29),Stara Zagora,3.0,4.0,4.0,3.67
Female,(25-29),Targovishte,2.0,0.0,0.0,0.67
Female,(25-29),Varna,5.0,4.0,3.0,4.0
Female,(25-29),Veliko Tarnovo,2.0,5.0,2.0,3.0
Female,(25-29),Vidin,3.0,1.0,1.0,1.67
Female,(25-29),Vratsa,3.0,3.0,3.0,3.0
Female,(25-29),Yambol,1.0,3.0,0.0,1.33
Female,(30-34),Blagoevgrad,5.0,8.0,4.0,5.67
Female,(30-34),Burgas,8.0,9.0,5.0,7.33
Female,(30-34),Dobrich,5.0,1.0,4.0,3.33
Female,(30-34),Gabrovo,2.0,0.0,0.0,0.67
Female,(30-34),Haskovo,6.0,3.0,7.0,5.33
Female,(30-34),Kardzhali,3.0,5.0,5.0,4.33
Female,(30-34),Kyustendil,2.0,2.0,3.0,2.33
Female,(30-34),Lovech,2.0,2.0,4.0,2.67
Female,(30-34),Montana,1.0,2.0,3.0,2.0
Female,(30-34),Pazardzhik,3.0,0.0,8.0,3.67
Female,(30-34),Pernik,3.0,1.0,3.0,2.33
Female,(30-34),Pleven,6.0,2.0,4.0,4.0
Female,(30-34),Plovdiv,8.0,9.0,8.0,8.33
Female,(30-34),Razgrad,2.0,6.0,1.0,3.0
Female,(30-34),Ruse,5.0,4.0,5.0,4.67
Female,(30-34),Shumen,2.0,4.0,1.0,2.33
Female,(30-34),Silistra,1.0,2.0,1.0,1.33
Female,(30-34),Sliven,2.0,9.0,6.0,5.67
Female,(30-34),Smolyan,3.0,2.0,2.0,2.33
Female,(30-34),Sofia,4.0,7.0,4.0,5.0
Female,(30-34),Sofia (stolitsa),28.0,26.0,23.0,25.67
Female,(30-34),Stara Zagora,3.0,13.0,7.0,7.67
Female,(30-34),Targovishte,2.0,2.0,4.0,2.67
Female,(30-34),Varna,9.0,5.0,5.0,6.33
Female,(30-34),Veliko Tarnovo,4.0,2.0,3.0,3.0
Female,(30-34),Vidin,1.0,1.0,1.0,1.0
Female,(30-34),Vratsa,5.0,4.0,3.0,4.0
Female,(30-34),Yambol,2.0,1.0,3.0,2.0
Female,(35-39),Blagoevgrad,6.0,8.0,5.0,6.33
Female,(35-39),Burgas,10.0,16.0,17.0,14.33
Female,(35-39),Dobrich,10.0,7.0,11.0,9.33
Female,(35-39),Gabrovo,3.0,2.0,1.0,2.0
Female,(35-39),Haskovo,10.0,6.0,10.0,8.67
Female,(35-39),Kardzhali,6.0,6.0,5.0,5.67
Female,(35-39),Kyustendil,3.0,6.0,5.0,4.67
Female,(35-39),Lovech,5.0,5.0,2.0,4.0
Female,(35-39),Montana,4.0,6.0,10.0,6.67
Female,(35-39),Pazardzhik,9.0,11.0,6.0,8.67
Female,(35-39),Pernik,2.0,1.0,2.0,1.67
Female,(35-39),Pleven,9.0,5.0,9.0,7.67
Female,(35-39),Plovdiv,23.0,18.0,18.0,19.67
Female,(35-39),Razgrad,3.0,7.0,3.0,4.33
Female,(35-39),Ruse,5.0,10.0,5.0,6.67
Female,(35-39),Shumen,2.0,12.0,4.0,6.0
Female,(35-39),Silistra,5.0,1.0,5.0,3.67
Female,(35-39),Sliven,8.0,9.0,10.0,9.0
Female,(35-39),Smolyan,1.0,2.0,7.0,3.33
Female,(35-39),Sofia,6.0,5.0,10.0,7.0
Female,(35-39),Sofia (stolitsa),44.0,41.0,45.0,43.33
Female,(35-39),Stara Zagora,6.0,11.0,9.0,8.67
Female,(35-39),Targovishte,9.0,4.0,3.0,5.33
Female,(35-39),Varna,15.0,14.0,16.0,15.0
Female,(35-39),Veliko Tarnovo,8.0,9.0,6.0,7.67
Female,(35-39),Vidin,3.0,9.0,2.0,4.67
Female,(35-39),Vratsa,4.0,4.0,7.0,5.0
Female,(35-39),Yambol,4.0,4.0,8.0,5.33
Female,(40-44),Blagoevgrad,10.0,14.0,3.0,9.0
Female,(40-44),Burgas,27.0,29.0,29.0,28.33
Female,(40-44),Dobrich,17.0,14.0,14.0,15.0
Female,(40-44),Gabrovo,13.0,5.0,3.0,7.0
Female,(40-44),Haskovo,13.0,11.0,11.0,11.67
Female,(40-44),Kardzhali,5.0,6.0,7.0,6.0
Female,(40-44),Kyustendil,9.0,6.0,12.0,9.0
Female,(40-44),Lovech,6.0,9.0,5.0,6.67
Female,(40-44),Montana,7.0,8.0,8.0,7.67
Female,(40-44),Pazardzhik,12.0,14.0,16.0,14.0
Female,(40-44),Pernik,13.0,6.0,6.0,8.33
Female,(40-44),Pleven,12.0,13.0,14.0,13.0
Female,(40-44),Plovdiv,40.0,39.0,42.0,40.33
Female,(40-44),Razgrad,8.0,4.0,11.0,7.67
Female,(40-44),Ruse,8.0,14.0,19.0,13.67
Female,(40-44),Shumen,15.0,8.0,8.0,10.33
Female,(40-44),Silistra,8.0,3.0,7.0,6.0
Female,(40-44),Sliven,15.0,14.0,9.0,12.67
Female,(40-44),Smolyan,5.0,5.0,4.0,4.67
Female,(40-44),Sofia,18.0,16.0,14.0,16.0
