Location,Sex,Age,avg_mortality,avg_population,Interval,M_x,a_x,q_x,p_x,l(x),dx,Lx,Tx,e(x)
Blagoevgrad,Female,(0-4),7.0,6935.33,5,0.0010093247185065455,0.5,0.005033921439183757,0.9949660785608162,100000.0,503.39214391837595,498741.51964020403,7986195.161664013,79.86
Blagoevgrad,Female,(5-9),0.33,7384.33,5,4.468922705242046e-05,0.5,0.00022342117396317342,0.9997765788260369,99496.60785608162,22.229648932552664,497427.4651580767,7487453.642023809,75.25
Blagoevgrad,Female,(10-14),0.33,7512.33,5,4.3927782725199774e-05,0.5,0.00021961479564843267,0.9997803852043515,99474.37820714907,21.84604524221504,497317.2759226398,6990026.176865732,70.27
Blagoevgrad,Female,(15-19),1.33,6669.33,5,0.00019942033157753478,0.5,0.0009966047997386346,0.9990033952002614,99452.53216190686,99.11487089871662,497014.8736322875,6492708.900943092,65.28
Blagoevgrad,Female,(20-24),1.33,5880.67,5,0.00022616470572230717,0.5,0.0011301845089943144,0.9988698154910057,99353.41729100814,112.28769313794328,496486.36722219584,5995694.027310804,60.35
Blagoevgrad,Female,(25-29),3.33,9962.33,5,0.0003342591542339995,0.5,0.0016699003224963653,0.9983300996775036,99241.1295978702,165.72279432039068,495791.34100355004,5499207.660088609,55.41
Blagoevgrad,Female,(30-34),5.67,10832.33,5,0.0005234330933418757,0.5,0.0026137451649171782,0.9973862548350828,99075.4068035498,258.95786549498735,494729.6393540116,5003416.319085059,50.5
Blagoevgrad,Female,(35-39),6.33,10335.67,5,0.0006124421542096449,0.5,0.003057529371361335,0.9969424706286386,98816.44893805482,302.1341950017377,493326.90920276975,4508686.679731047,45.63
Blagoevgrad,Female,(40-44),9.0,10980.33,5,0.0008196474969331522,0.5,0.004089856882274832,0.9959101431177252,98514.31474305308,402.9094481544598,491564.3000948793,4015359.7705282774,40.76
Blagoevgrad,Female,(45-49),24.0,11104.0,5,0.002161383285302594,0.5,0.010748835542816195,0.9892511644571838,98111.40529489862,1054.583360389457,487920.56807351945,3523795.470433398,35.92
Blagoevgrad,Female,(50-54),43.33,11469.33,5,0.0037779015862304073,0.5,0.01871277041853467,0.9812872295814653,97056.82193450916,1816.2020264130697,480743.6046065131,3035874.9023598786,31.28
Blagoevgrad,Female,(55-59),62.33,11834.33,5,0.0052668803388109,0.5,0.025992157732739905,0.9740078422672601,95240.6199080961,2475.509215215163,470014.3265024426,2555131.2977533657,26.83
Blagoevgrad,Female,(60-64),90.67,11364.0,5,0.007978704681450195,0.5,0.039113338955669104,0.9608866610443308,92765.11069288093,3628.35321779082,454754.67041992757,2085116.971250923,22.48
Blagoevgrad,Female,(65-69),130.33,10439.33,5,0.012484517684564048,0.5,0.06053326682244704,0.9394667331775529,89136.75747509011,5395.739123927386,432194.439565632,1630362.3008309952,18.29
Blagoevgrad,Female,(70-74),187.0,8749.33,5,0.021373065137559103,0.5,0.10144485685425465,0.8985551431457454,83741.01835116273,8495.095619463216,397467.3527071556,1198167.8612653632,14.31
Blagoevgrad,Female,(75-79),296.0,6891.0,5,0.04295457843564069,0.5,0.19394574760843927,0.8060542523915607,75245.92273169951,14593.626738686318,339745.54681178177,800700.5085582077,10.64
Blagoevgrad,Female,(80-84),419.67,5000.0,5,0.08393400000000001,0.5,0.3468820128364612,0.6531179871635389,60652.29599301319,21039.190517209245,250663.50367204286,460954.96174642595,7.6
Blagoevgrad,Female,(85-89),360.0,2513.0,5,0.14325507361719061,0.5,0.527395253442719,0.472604746557281,39613.105475803946,20891.763802064783,145836.11787385776,210291.45807438312,5.31
Blagoevgrad,Female,(90+),227.33,782.67,9,0.2904544699554091,0.5,1.0,0.0,18721.341673739164,18721.341673739164,64455.34020052536,64455.34020052536,3.44
Blagoevgrad,Male,(0-4),5.67,7177.0,5,0.0007900236867772049,0.5,0.003942332094546441,0.9960576679054536,100000.0,394.23320945464366,499014.4169763634,7267550.883561554,72.68
Blagoevgrad,Male,(5-9),1.67,7761.67,5,0.00021515988182955472,0.5,0.0010752210480636684,0.9989247789519363,99605.76679054536,107.09821696172003,497761.0884103225,6768536.466585191,67.95
Blagoevgrad,Male,(10-14),2.0,7916.67,5,0.0002526314725762221,0.5,0.0012623600831642824,0.9987376399168357,99498.66857358364,125.60314753527928,497179.33499908005,6270775.378174868,63.02
Blagoevgrad,Male,(15-19),2.33,7132.0,5,0.00032669657879977565,0.5,0.0016321498495690213,0.998367850150431,99373.06542604836,162.1917337863415,496459.8477957759,5773596.043175789,58.1
Blagoevgrad,Male,(20-24),4.67,6262.67,5,0.0007456883405959439,0.5,0.0037215039976284375,0.9962784960023716,99210.87369226202,369.2136630539608,495131.33430367516,5277136.1953800125,53.19
Blagoevgrad,Male,(25-29),7.33,9740.67,5,0.0007525149707360993,0.5,0.0037555096605746798,0.9962444903394253,98841.66002920805,371.2008091069292,493280.29812327295,4782004.861076337,48.38
Blagoevgrad,Male,(30-34),12.67,11207.67,5,0.0011304758259299212,0.5,0.005636449455017175,0.9943635505449828,98470.45922010113,555.0237662064319,490964.73668498953,4288724.562953064,43.55
Blagoevgrad,Male,(35-39),17.33,11209.33,5,0.0015460335274275982,0.5,0.0077004049266595305,0.9922995950733404,97915.4354538947,753.9885015651817,487692.20601556054,3797759.826268075,38.79
Blagoevgrad,Male,(40-44),40.33,11539.67,5,0.0034949006340735914,0.5,0.017323146481313726,0.9826768535186863,97161.44695232951,1683.1419778916024,481599.3798169185,3310067.6202525143,34.07
Blagoevgrad,Male,(45-49),64.0,11445.33,5,0.005591800323800187,0.5,0.02757353733155369,0.9724264626684463,95478.30497443791,2632.674606566128,470809.8383557743,2828468.2404355956,29.62
