Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Благоевград,Сандански,Total,534.0,533.0,547.0,561.0,530.0,656.0,809.0,541.0,11.6,1.96,10.2,530.8,551.2,115.0,21.3,2.3,541.0 (±10.2),115.0 (±10.2),21.3% (±2.3%)
Благоевград,Сатовча,Female,69.0,74.0,68.0,78.0,63.0,87.0,109.0,70.4,5.2,1.96,4.6,65.80000000000001,75.0,16.6,23.6,7.6,70.4 (±4.6),16.6 (±4.6),23.6% (±7.6%)
Благоевград,Сатовча,Male,72.0,68.0,95.0,88.0,87.0,102.0,110.0,82.0,10.3,1.96,9.0,73.0,91.0,20.0,24.4,12.3,82.0 (±9.0),20.0 (±9.0),24.4% (±12.3%)
Благоевград,Сатовча,Total,141.0,142.0,163.0,166.0,150.0,189.0,219.0,152.4,10.4,1.96,9.1,143.3,161.5,36.6,24.0,7.0,152.4 (±9.1),36.6 (±9.1),24.0% (±7.0%)
Благоевград,Симитли,Female,89.0,107.0,100.0,109.0,135.0,153.0,140.0,108.0,15.2,1.96,13.3,94.7,121.3,45.0,41.7,15.6,108.0 (±13.3),45.0 (±13.3),41.7% (±15.6%)
Благоевград,Симитли,Male,123.0,112.0,132.0,131.0,111.0,134.0,177.0,121.8,9.0,1.96,7.9,113.89999999999999,129.7,12.2,10.0,6.7,121.8 (±7.9),12.2 (±7.9),10.0% (±6.7%)
Благоевград,Симитли,Total,212.0,219.0,232.0,240.0,246.0,287.0,317.0,229.8,12.7,1.96,11.1,218.70000000000002,240.9,57.2,24.9,5.8,229.8 (±11.1),57.2 (±11.1),24.9% (±5.8%)
Благоевград,Струмяни,Female,57.0,51.0,56.0,57.0,68.0,67.0,82.0,57.8,5.6,1.96,4.9,52.9,62.699999999999996,9.2,15.9,9.0,57.8 (±4.9),9.2 (±4.9),15.9% (±9.0%)
Благоевград,Струмяни,Male,66.0,64.0,51.0,45.0,44.0,75.0,92.0,54.0,9.3,1.96,8.2,45.8,62.2,21.0,38.9,18.3,54.0 (±8.2),21.0 (±8.2),38.9% (±18.3%)
Благоевград,Струмяни,Total,123.0,115.0,107.0,102.0,112.0,142.0,174.0,111.8,7.1,1.96,6.2,105.6,118.0,30.2,27.0,6.7,111.8 (±6.2),30.2 (±6.2),27.0% (±6.7%)
