Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Ямбол,Елхово,Male,158.0,143.0,153.0,153.0,170.0,148.0,186.0,310.8,334.0,8.8,1.96,7.7,303.1,318.5,23.2,7.5,2.6,310.8 (±7.7),23.2 (±7.7),7.5% (±2.6%)
Ямбол,Елхово,Total,324.0,257.0,308.0,290.0,317.0,298.0,353.0,598.4,651.0,24.0,1.96,21.0,577.4,619.4,52.6,8.8,3.7,598.4 (±21.0),52.6 (±21.0),8.8% (±3.7%)
Ямбол,Стралджа,Female,132.0,110.0,124.0,131.0,122.0,119.0,163.0,247.6,282.0,7.9,1.96,6.9,240.7,254.5,34.4,13.9,3.1,247.6 (±6.9),34.4 (±6.9),13.9% (±3.1%)
Ямбол,Стралджа,Male,161.0,129.0,142.0,146.0,132.0,141.0,183.0,284.0,324.0,11.4,1.96,10.0,274.0,294.0,40.0,14.1,3.9,284.0 (±10.0),40.0 (±10.0),14.1% (±3.9%)
Ямбол,Стралджа,Total,293.0,239.0,266.0,277.0,254.0,260.0,346.0,531.6,606.0,18.6,1.96,16.3,515.3000000000001,547.9,74.4,14.0,3.4,531.6 (±16.3),74.4 (±16.3),14.0% (±3.4%)
Ямбол,Тунджа,Female,283.0,279.0,253.0,292.0,277.0,299.0,308.0,553.6,607.0,13.0,1.96,11.4,542.2,565.0,53.4,9.6,2.2,553.6 (±11.4),53.4 (±11.4),9.6% (±2.2%)
Ямбол,Тунджа,Male,371.0,309.0,330.0,314.0,293.0,338.0,386.0,646.8,724.0,26.6,1.96,23.3,623.5,670.0999999999999,77.2,11.9,3.9,646.8 (±23.3),77.2 (±23.3),11.9% (±3.9%)
Ямбол,Тунджа,Total,654.0,588.0,583.0,606.0,570.0,637.0,694.0,1200.4,1331.0,29.3,1.96,25.7,1174.7,1226.1000000000001,130.6,10.9,2.3,1200.4 (±25.7),130.6 (±25.7),10.9% (±2.3%)
Ямбол,Ямбол,Female,473.0,409.0,426.0,430.0,412.0,536.0,565.0,860.0,1101.0,22.9,1.96,20.1,839.9,880.1,241.0,28.0,2.9,860.0 (±20.1),241.0 (±20.1),28.0% (±2.9%)
Ямбол,Ямбол,Male,476.0,492.0,462.0,516.0,451.0,591.0,677.0,958.8,1268.0,22.9,1.96,20.1,938.6999999999999,978.9,309.2,32.2,2.7,958.8 (±20.1),309.2 (±20.1),32.2% (±2.7%)
Ямбол,Ямбол,Total,949.0,901.0,888.0,946.0,863.0,1127.0,1242.0,1818.8,2369.0,33.4,1.96,29.3,1789.5,1848.1,550.2,30.3,2.1,1818.8 (±29.3),550.2 (±29.3),30.3% (±2.1%)
