Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Монтана,Вълчедръм,Male,123.0,132.0,117.0,103.0,113.0,112.0,131.0
Монтана,Вълчедръм,Total,240.0,231.0,233.0,206.0,221.0,232.0,286.0
Монтана,Вършец,Female,64.0,78.0,66.0,75.0,77.0,80.0,89.0
Монтана,Вършец,Male,94.0,77.0,74.0,79.0,66.0,87.0,92.0
Монтана,Вършец,Total,158.0,155.0,140.0,154.0,143.0,167.0,181.0
Монтана,Георги Дамяново,Female,40.0,42.0,49.0,43.0,43.0,41.0,50.0
Монтана,Георги Дамяново,Male,61.0,49.0,31.0,50.0,43.0,51.0,50.0
Монтана,Георги Дамяново,Total,101.0,91.0,80.0,93.0,86.0,92.0,100.0
Монтана,Лом,Female,282.0,279.0,240.0,304.0,282.0,285.0,359.0
Монтана,Лом,Male,254.0,302.0,272.0,249.0,236.0,349.0,374.0
Монтана,Лом,Total,536.0,581.0,512.0,553.0,518.0,634.0,733.0
Монтана,Медковец,Female,38.0,47.0,55.0,46.0,49.0,59.0,66.0
Монтана,Медковец,Male,48.0,57.0,57.0,61.0,58.0,41.0,66.0
Монтана,Медковец,Total,86.0,104.0,112.0,107.0,107.0,100.0,132.0
Монтана,Монтана,Female,377.0,350.0,367.0,364.0,385.0,393.0,546.0
Монтана,Монтана,Male,459.0,426.0,411.0,408.0,439.0,564.0,627.0
Монтана,Монтана,Total,836.0,776.0,778.0,772.0,824.0,957.0,1173.0
Монтана,Чипровци,Female,52.0,48.0,43.0,45.0,39.0,47.0,69.0
Монтана,Чипровци,Male,38.0,46.0,66.0,55.0,48.0,59.0,68.0
Монтана,Чипровци,Total,90.0,94.0,109.0,100.0,87.0,106.0,137.0
Монтана,Якимово,Female,54.0,54.0,54.0,52.0,49.0,52.0,72.0
Монтана,Якимово,Male,63.0,56.0,54.0,62.0,62.0,52.0,74.0
Монтана,Якимово,Total,117.0,110.0,108.0,114.0,111.0,104.0,146.0
Пазарджик,Батак,Female,51.0,46.0,56.0,38.0,53.0,59.0,72.0
Пазарджик,Батак,Male,48.0,44.0,46.0,44.0,52.0,68.0,71.0
Пазарджик,Батак,Total,99.0,90.0,102.0,82.0,105.0,127.0,143.0
Пазарджик,Белово,Female,74.0,85.0,83.0,65.0,91.0,87.0,102.0
Пазарджик,Белово,Male,74.0,89.0,96.0,92.0,94.0,119.0,110.0
Пазарджик,Белово,Total,148.0,174.0,179.0,157.0,185.0,206.0,212.0
Пазарджик,Брацигово,Female,81.0,81.0,86.0,70.0,87.0,101.0,109.0
Пазарджик,Брацигово,Male,84.0,91.0,84.0,99.0,100.0,78.0,119.0
Пазарджик,Брацигово,Total,165.0,172.0,170.0,169.0,187.0,179.0,228.0
Пазарджик,Велинград,Female,252.0,255.0,221.0,225.0,230.0,289.0,305.0
Пазарджик,Велинград,Male,244.0,225.0,268.0,255.0,239.0,297.0,332.0
Пазарджик,Велинград,Total,496.0,480.0,489.0,480.0,469.0,586.0,637.0
Пазарджик,Лесичово,Female,73.0,58.0,68.0,77.0,59.0,44.0,71.0
Пазарджик,Лесичово,Male,47.0,71.0,59.0,56.0,57.0,83.0,90.0
Пазарджик,Лесичово,Total,120.0,129.0,127.0,133.0,116.0,127.0,161.0
Пазарджик,Пазарджик,Female,748.0,710.0,818.0,730.0,771.0,926.0,1039.0
Пазарджик,Пазарджик,Male,844.0,832.0,854.0,770.0,833.0,1026.0,1186.0
Пазарджик,Пазарджик,Total,1592.0,1542.0,1672.0,1500.0,1604.0,1952.0,2225.0
Пазарджик,Панагюрище,Female,217.0,205.0,204.0,155.0,173.0,189.0,278.0
Пазарджик,Панагюрище,Male,203.0,198.0,201.0,206.0,198.0,267.0,302.0
Пазарджик,Панагюрище,Total,420.0,403.0,405.0,361.0,371.0,456.0,580.0
Пазарджик,Пещера,Female,112.0,106.0,137.0,122.0,109.0,147.0,165.0
Пазарджик,Пещера,Male,131.0,125.0,125.0,130.0,147.0,184.0,210.0
Пазарджик,Пещера,Total,243.0,231.0,262.0,252.0,256.0,331.0,375.0
Пазарджик,Ракитово,Female,100.0,75.0,106.0,100.0,97.0,102.0,140.0
Пазарджик,Ракитово,Male,121.0,97.0,81.0,89.0,97.0,122.0,151.0
Пазарджик,Ракитово,Total,221.0,172.0,187.0,189.0,194.0,224.0,291.0
Пазарджик,Септември,Female,197.0,183.0,204.0,183.0,198.0,196.0,240.0
Пазарджик,Септември,Male,222.0,193.0,204.0,204.0,192.0,235.0,273.0
Пазарджик,Септември,Total,419.0,376.0,408.0,387.0,390.0,431.0,513.0
Пазарджик,Стрелча,Female,41.0,54.0,45.0,49.0,34.0,53.0,53.0
Пазарджик,Стрелча,Male,58.0,56.0,53.0,57.0,58.0,61.0,80.0
Пазарджик,Стрелча,Total,99.0,110.0,98.0,106.0,92.0,114.0,133.0
Пазарджик,Сърница,Female,29.0,25.0,28.0,16.0,18.0,36.0,33.0
Пазарджик,Сърница,Male,31.0,28.0,24.0,22.0,29.0,38.0,26.0
Пазарджик,Сърница,Total,60.0,53.0,52.0,38.0,47.0,74.0,59.0
Перник,Брезник,Female,110.0,94.0,121.0,135.0,135.0,97.0,143.0
Перник,Брезник,Male,135.0,129.0,135.0,110.0,111.0,112.0,133.0
Перник,Брезник,Total,245.0,223.0,256.0,245.0,246.0,209.0,276.0
Перник,Земен,Female,54.0,39.0,47.0,37.0,40.0,40.0,52.0
Перник,Земен,Male,52.0,50.0,47.0,45.0,49.0,53.0,49.0
Перник,Земен,Total,106.0,89.0,94.0,82.0,89.0,93.0,101.0
Перник,Ковачевци,Female,34.0,35.0,24.0,35.0,28.0,38.0,48.0
Перник,Ковачевци,Male,35.0,33.0,43.0,46.0,48.0,43.0,48.0
Перник,Ковачевци,Total,69.0,68.0,67.0,81.0,76.0,81.0,96.0
Перник,Перник,Female,697.0,672.0,685.0,684.0,692.0,763.0,1028.0
Перник,Перник,Male,755.0,757.0,789.0,743.0,772.0,923.0,1179.0
Перник,Перник,Total,1452.0,1429.0,1474.0,1427.0,1464.0,1686.0,2207.0
Перник,Радомир,Female,198.0,219.0,228.0,183.0,199.0,223.0,236.0
Перник,Радомир,Male,261.0,230.0,225.0,253.0,229.0,286.0,297.0
Перник,Радомир,Total,459.0,449.0,453.0,436.0,428.0,509.0,533.0
Перник,Трън,Female,62.0,67.0,55.0,49.0,73.0,82.0,91.0
Перник,Трън,Male,61.0,70.0,46.0,64.0,75.0,95.0,78.0
Перник,Трън,Total,123.0,137.0,101.0,113.0,148.0,177.0,169.0
Плевен,Белене,Female,87.0,83.0,82.0,85.0,96.0,105.0,108.0
Плевен,Белене,Male,108.0,92.0,98.0,85.0,86.0,104.0,110.0
Плевен,Белене,Total,195.0,175.0,180.0,170.0,182.0,209.0,218.0
Плевен,Гулянци,Female,171.0,159.0,172.0,146.0,152.0,138.0,184.0
Плевен,Гулянци,Male,176.0,167.0,148.0,153.0,160.0,171.0,188.0
Плевен,Гулянци,Total,347.0,326.0,320.0,299.0,312.0,309.0,372.0
Плевен,Долна Митрополия,Female,255.0,229.0,219.0,227.0,226.0,208.0,262.0
Плевен,Долна Митрополия,Male,237.0,211.0,210.0,230.0,227.0,248.0,292.0
Плевен,Долна Митрополия,Total,492.0,440.0,429.0,457.0,453.0,456.0,554.0
Плевен,Долни Дъбник,Female,102.0,130.0,117.0,114.0,113.0,125.0,135.0
Плевен,Долни Дъбник,Male,129.0,145.0,107.0,116.0,126.0,130.0,172.0
Плевен,Долни Дъбник,Total,231.0,275.0,224.0,230.0,239.0,255.0,307.0
Плевен,Искър,Female,86.0,63.0,86.0,66.0,82.0,65.0,71.0
Плевен,Искър,Male,74.0,67.0,75.0,78.0,86.0,83.0,87.0
Плевен,Искър,Total,160.0,130.0,161.0,144.0,168.0,148.0,158.0
Плевен,Кнежа,Female,114.0,115.0,125.0,119.0,112.0,142.0,147.0
Плевен,Кнежа,Male,114.0,132.0,144.0,122.0,110.0,161.0,163.0
Плевен,Кнежа,Total,228.0,247.0,269.0,241.0,222.0,303.0,310.0
Плевен,Левски,Female,177.0,203.0,177.0,176.0,183.0,213.0,261.0
Плевен,Левски,Male,241.0,224.0,230.0,210.0,200.0,231.0,268.0
Плевен,Левски,Total,418.0,427.0,407.0,386.0,383.0,444.0,529.0
Плевен,Никопол,Female,119.0,111.0,125.0,96.0,108.0,104.0,118.0
Плевен,Никопол,Male,129.0,120.0,89.0,101.0,123.0,137.0,134.0
Плевен,Никопол,Total,248.0,231.0,214.0,197.0,231.0,241.0,252.0
Плевен,Плевен,Female,830.0,823.0,858.0,847.0,844.0,969.0,1248.0
Плевен,Плевен,Male,925.0,925.0,884.0,943.0,963.0,1058.0,1346.0
Плевен,Плевен,Total,1755.0,1748.0,1742.0,1790.0,1807.0,2027.0,2594.0
Плевен,Пордим,Female,73.0,77.0,81.0,80.0,73.0,82.0,93.0
Плевен,Пордим,Male,87.0,78.0,93.0,85.0,75.0,84.0,96.0
Плевен,Пордим,Total,160.0,155.0,174.0,165.0,148.0,166.0,189.0
Плевен,Червен бряг,Female,251.0,228.0,251.0,218.0,230.0,248.0,327.0
Плевен,Червен бряг,Male,260.0,242.0,255.0,270.0,249.0,294.0,336.0
Плевен,Червен бряг,Total,511.0,470.0,506.0,488.0,479.0,542.0,663.0
Пловдив,Асеновград,Female,446.0,458.0,433.0,460.0,437.0,550.0,588.0
Пловдив,Асеновград,Male,515.0,465.0,525.0,498.0,473.0,596.0,653.0
Пловдив,Асеновград,Total,961.0,923.0,958.0,958.0,910.0,1146.0,1241.0
Пловдив,Брезово,Female,96.0,98.0,91.0,95.0,86.0,95.0,118.0
Пловдив,Брезово,Male,101.0,96.0,101.0,112.0,79.0,119.0,113.0
Пловдив,Брезово,Total,197.0,194.0,192.0,207.0,165.0,214.0,231.0
Пловдив,Калояново,Female,159.0,163.0,142.0,160.0,150.0,150.0,198.0
Пловдив,Калояново,Male,164.0,152.0,158.0,150.0,115.0,140.0,190.0
Пловдив,Калояново,Total,323.0,315.0,300.0,310.0,265.0,290.0,388.0
Пловдив,Карлово,Female,386.0,372.0,390.0,387.0,393.0,456.0,562.0
Пловдив,Карлово,Male,435.0,440.0,406.0,428.0,401.0,467.0,541.0
Пловдив,Карлово,Total,821.0,812.0,796.0,815.0,794.0,923.0,1103.0
Пловдив,Кричим,Female,61.0,50.0,51.0,67.0,48.0,58.0,78.0
Пловдив,Кричим,Male,60.0,63.0,68.0,45.0,58.0,67.0,91.0
Пловдив,Кричим,Total,121.0,113.0,119.0,112.0,106.0,125.0,169.0
Пловдив,Куклен,Female,37.0,48.0,49.0,36.0,48.0,79.0,84.0
Пловдив,Куклен,Male,62.0,55.0,54.0,56.0,45.0,72.0,73.0
Пловдив,Куклен,Total,99.0,103.0,103.0,92.0,93.0,151.0,157.0
Пловдив,Лъки,Female,18.0,27.0,12.0,18.0,21.0,27.0,28.0
Пловдив,Лъки,Male,30.0,37.0,26.0,30.0,26.0,38.0,31.0
Пловдив,Лъки,Total,48.0,64.0,38.0,48.0,47.0,65.0,59.0
Пловдив,Марица,Female,251.0,218.0,223.0,205.0,227.0,251.0,335.0
Пловдив,Марица,Male,309.0,244.0,286.0,282.0,251.0,343.0,366.0
Пловдив,Марица,Total,560.0,462.0,509.0,487.0,478.0,594.0,701.0
Пловдив,Перущица,Female,35.0,39.0,52.0,34.0,49.0,53.0,39.0
Пловдив,Перущица,Male,40.0,37.0,34.0,41.0,39.0,63.0,66.0
Пловдив,Перущица,Total,75.0,76.0,86.0,75.0,88.0,116.0,105.0
Пловдив,Пловдив,Female,1946.0,2012.0,2027.0,2012.0,2008.0,2366.0,2991.0
Пловдив,Пловдив,Male,2039.0,2075.0,2032.0,2068.0,2160.0,2565.0,2979.0
Пловдив,Пловдив,Total,3985.0,4087.0,4059.0,4080.0,4168.0,4931.0,5970.0
Пловдив,Първомай,Female,285.0,274.0,267.0,255.0,253.0,287.0,307.0
Пловдив,Първомай,Male,284.0,298.0,262.0,276.0,272.0,278.0,325.0
Пловдив,Първомай,Total,569.0,572.0,529.0,531.0,525.0,565.0,632.0
Пловдив,Раковски,Female,198.0,203.0,177.0,198.0,190.0,215.0,244.0
Пловдив,Раковски,Male,230.0,223.0,223.0,220.0,205.0,230.0,266.0
Пловдив,Раковски,Total,428.0,426.0,400.0,418.0,395.0,445.0,510.0
Пловдив,Родопи,Female,281.0,259.0,250.0,273.0,263.0,296.0,362.0
Пловдив,Родопи,Male,273.0,267.0,299.0,299.0,296.0,351.0,414.0
Пловдив,Родопи,Total,554.0,526.0,549.0,572.0,559.0,647.0,776.0
Пловдив,Садово,Female,109.0,120.0,126.0,123.0,116.0,137.0,164.0
Пловдив,Садово,Male,156.0,120.0,127.0,128.0,127.0,146.0,182.0
Пловдив,Садово,Total,265.0,240.0,253.0,251.0,243.0,283.0,346.0
Пловдив,Сопот,Female,63.0,52.0,57.0,56.0,73.0,89.0,100.0
Пловдив,Сопот,Male,56.0,71.0,78.0,73.0,71.0,82.0,97.0
Пловдив,Сопот,Total,119.0,123.0,135.0,129.0,144.0,171.0,197.0
Пловдив,Стамболийски,Female,173.0,131.0,146.0,138.0,129.0,175.0,224.0
Пловдив,Стамболийски,Male,152.0,165.0,162.0,148.0,174.0,183.0,231.0
Пловдив,Стамболийски,Total,325.0,296.0,308.0,286.0,303.0,358.0,455.0
Пловдив,Съединение,Female,106.0,105.0,130.0,112.0,105.0,118.0,123.0
Пловдив,Съединение,Male,103.0,106.0,124.0,111.0,122.0,144.0,155.0
Пловдив,Съединение,Total,209.0,211.0,254.0,223.0,227.0,262.0,278.0
Пловдив,Хисаря,Female,127.0,135.0,158.0,124.0,132.0,129.0,182.0
Пловдив,Хисаря,Male,157.0,146.0,139.0,128.0,127.0,154.0,192.0
Пловдив,Хисаря,Total,284.0,281.0,297.0,252.0,259.0,283.0,374.0
Разград,Завет,Female,62.0,67.0,66.0,71.0,84.0,87.0,109.0
Разград,Завет,Male,85.0,101.0,81.0,82.0,80.0,110.0,107.0
Разград,Завет,Total,147.0,168.0,147.0,153.0,164.0,197.0,216.0
Разград,Исперих,Female,144.0,141.0,155.0,144.0,143.0,208.0,222.0
Разград,Исперих,Male,172.0,161.0,158.0,186.0,182.0,241.0,252.0
Разград,Исперих,Total,316.0,302.0,313.0,330.0,325.0,449.0,474.0
Разград,Кубрат,Female,157.0,154.0,173.0,156.0,166.0,181.0,221.0
Разград,Кубрат,Male,175.0,174.0,160.0,159.0,175.0,202.0,238.0
Разград,Кубрат,Total,332.0,328.0,333.0,315.0,341.0,383.0,459.0
Разград,Лозница,Female,60.0,65.0,42.0,61.0,70.0,83.0,78.0
Разград,Лозница,Male,73.0,75.0,72.0,79.0,75.0,76.0,112.0
Разград,Лозница,Total,133.0,140.0,114.0,140.0,145.0,159.0,190.0
Разград,Разград,Female,388.0,351.0,375.0,378.0,335.0,452.0,512.0
Разград,Разград,Male,410.0,384.0,450.0,390.0,369.0,498.0,537.0
Разград,Разград,Total,798.0,735.0,825.0,768.0,704.0,950.0,1049.0
Разград,Самуил,Female,47.0,57.0,51.0,53.0,50.0,59.0,68.0
Разград,Самуил,Male,50.0,52.0,56.0,56.0,60.0,68.0,88.0
Разград,Самуил,Total,97.0,109.0,107.0,109.0,110.0,127.0,156.0
Разград,Цар Калоян,Female,53.0,46.0,53.0,53.0,44.0,48.0,72.0
Разград,Цар Калоян,Male,61.0,55.0,58.0,54.0,47.0,54.0,69.0
Разград,Цар Калоян,Total,114.0,101.0,111.0,107.0,91.0,102.0,141.0
Русе,Борово,Female,76.0,47.0,68.0,64.0,67.0,80.0,79.0
Русе,Борово,Male,75.0,74.0,73.0,85.0,56.0,83.0,100.0
Русе,Борово,Total,151.0,121.0,141.0,149.0,123.0,163.0,179.0
Русе,Ветово,Female,105.0,86.0,87.0,96.0,101.0,111.0,127.0
Русе,Ветово,Male,109.0,104.0,91.0,108.0,103.0,138.0,157.0
Русе,Ветово,Total,214.0,190.0,178.0,204.0,204.0,249.0,284.0
Русе,Две могили,Female,85.0,98.0,107.0,104.0,90.0,80.0,113.0
Русе,Две могили,Male,77.0,88.0,84.0,114.0,101.0,124.0,132.0
Русе,Две могили,Total,162.0,186.0,191.0,218.0,191.0,204.0,245.0
Русе,Иваново,Female,147.0,118.0,109.0,102.0,93.0,116.0,156.0
Русе,Иваново,Male,118.0,150.0,116.0,137.0,122.0,151.0,157.0
Русе,Иваново,Total,265.0,268.0,225.0,239.0,215.0,267.0,313.0
Русе,Русе,Female,1148.0,1090.0,1128.0,1167.0,1133.0,1313.0,1679.0
Русе,Русе,Male,1148.0,1211.0,1210.0,1241.0,1236.0,1517.0,1712.0
Русе,Русе,Total,2296.0,2301.0,2338.0,2408.0,2369.0,2830.0,3391.0
Русе,Сливо поле,Female,105.0,103.0,112.0,86.0,114.0,114.0,128.0
Русе,Сливо поле,Male,119.0,119.0,107.0,127.0,107.0,123.0,127.0
Русе,Сливо поле,Total,224.0,222.0,219.0,213.0,221.0,237.0,255.0
Русе,Ценово,Female,73.0,75.0,75.0,72.0,58.0,69.0,88.0
Русе,Ценово,Male,78.0,82.0,77.0,83.0,63.0,81.0,88.0
Русе,Ценово,Total,151.0,157.0,152.0,155.0,121.0,150.0,176.0
Силистра,Алфатар,Female,27.0,32.0,23.0,35.0,30.0,31.0,31.0
Силистра,Алфатар,Male,38.0,37.0,41.0,42.0,29.0,41.0,52.0
Силистра,Алфатар,Total,65.0,69.0,64.0,77.0,59.0,72.0,83.0
Силистра,Главиница,Female,95.0,72.0,70.0,104.0,79.0,86.0,141.0
Силистра,Главиница,Male,102.0,94.0,99.0,102.0,99.0,108.0,129.0
Силистра,Главиница,Total,197.0,166.0,169.0,206.0,178.0,194.0,270.0
Силистра,Дулово,Female,175.0,160.0,149.0,184.0,207.0,260.0,283.0
Силистра,Дулово,Male,220.0,238.0,216.0,226.0,218.0,300.0,329.0
Силистра,Дулово,Total,395.0,398.0,365.0,410.0,425.0,560.0,612.0
Силистра,Кайнарджа,Female,33.0,22.0,41.0,22.0,20.0,39.0,33.0
Силистра,Кайнарджа,Male,28.0,44.0,44.0,41.0,26.0,46.0,44.0
Силистра,Кайнарджа,Total,61.0,66.0,85.0,63.0,46.0,85.0,77.0
Силистра,Силистра,Female,399.0,319.0,393.0,380.0,376.0,447.0,576.0
Силистра,Силистра,Male,473.0,425.0,471.0,468.0,471.0,524.0,600.0
Силистра,Силистра,Total,872.0,744.0,864.0,848.0,847.0,971.0,1176.0
Силистра,Ситово,Female,53.0,34.0,42.0,55.0,39.0,44.0,72.0
Силистра,Ситово,Male,61.0,59.0,51.0,48.0,54.0,60.0,85.0
Силистра,Ситово,Total,114.0,93.0,93.0,103.0,93.0,104.0,157.0
Силистра,Тутракан,Female,126.0,123.0,130.0,114.0,121.0,131.0,165.0
Силистра,Тутракан,Male,153.0,145.0,135.0,153.0,158.0,185.0,172.0
Силистра,Тутракан,Total,279.0,268.0,265.0,267.0,279.0,316.0,337.0
Сливен,Котел,Female,138.0,122.0,140.0,108.0,131.0,182.0,159.0
Сливен,Котел,Male,143.0,126.0,153.0,159.0,139.0,169.0,190.0
Сливен,Котел,Total,281.0,248.0,293.0,267.0,270.0,351.0,349.0
Сливен,Нова Загора,Female,333.0,297.0,293.0,320.0,298.0,355.0,383.0
Сливен,Нова Загора,Male,332.0,334.0,350.0,348.0,308.0,355.0,407.0
Сливен,Нова Загора,Total,665.0,631.0,643.0,668.0,606.0,710.0,790.0
Сливен,Сливен,Female,830.0,799.0,825.0,830.0,824.0,959.0,1159.0
Сливен,Сливен,Male,920.0,914.0,912.0,934.0,923.0,1064.0,1217.0
Сливен,Сливен,Total,1750.0,1713.0,1737.0,1764.0,1747.0,2023.0,2376.0
Сливен,Твърдица,Female,115.0,79.0,98.0,97.0,93.0,99.0,106.0
Сливен,Твърдица,Male,119.0,101.0,119.0,121.0,115.0,130.0,167.0
Сливен,Твърдица,Total,234.0,180.0,217.0,218.0,208.0,229.0,273.0
Смолян,Баните,Female,58.0,45.0,59.0,42.0,45.0,69.0,61.0
Смолян,Баните,Male,59.0,54.0,50.0,52.0,47.0,60.0,65.0
Смолян,Баните,Total,117.0,99.0,109.0,94.0,92.0,129.0,126.0
Смолян,Борино,Female,27.0,19.0,19.0,16.0,25.0,29.0,20.0
Смолян,Борино,Male,23.0,27.0,37.0,34.0,23.0,39.0,30.0
Смолян,Борино,Total,50.0,46.0,56.0,50.0,48.0,68.0,50.0
Смолян,Девин,Female,100.0,86.0,96.0,75.0,80.0,108.0,144.0
Смолян,Девин,Male,107.0,101.0,100.0,103.0,97.0,125.0,164.0
Смолян,Девин,Total,207.0,187.0,196.0,178.0,177.0,233.0,308.0
Смолян,Доспат,Female,34.0,38.0,53.0,48.0,45.0,60.0,87.0
Смолян,Доспат,Male,46.0,51.0,51.0,56.0,57.0,75.0,76.0
Смолян,Доспат,Total,80.0,89.0,104.0,104.0,102.0,135.0,163.0
Смолян,Златоград,Female,73.0,75.0,76.0,75.0,64.0,88.0,93.0
Смолян,Златоград,Male,84.0,68.0,88.0,83.0,101.0,103.0,96.0
Смолян,Златоград,Total,157.0,143.0,164.0,158.0,165.0,191.0,189.0
Смолян,Мадан,Female,87.0,82.0,79.0,93.0,74.0,84.0,110.0
Смолян,Мадан,Male,68.0,70.0,95.0,95.0,80.0,98.0,122.0
Смолян,Мадан,Total,155.0,152.0,174.0,188.0,154.0,182.0,232.0
Смолян,Неделино,Female,34.0,42.0,44.0,46.0,44.0,50.0,55.0
Смолян,Неделино,Male,56.0,46.0,46.0,53.0,45.0,57.0,59.0
Смолян,Неделино,Total,90.0,88.0,90.0,99.0,89.0,107.0,114.0
Смолян,Рудозем,Female,72.0,81.0,58.0,59.0,52.0,85.0,69.0
Смолян,Рудозем,Male,62.0,70.0,58.0,63.0,57.0,86.0,87.0
Смолян,Рудозем,Total,134.0,151.0,116.0,122.0,109.0,171.0,156.0
Смолян,Смолян,Female,268.0,260.0,267.0,277.0,287.0,344.0,361.0
Смолян,Смолян,Male,288.0,312.0,352.0,278.0,322.0,391.0,386.0
Смолян,Смолян,Total,556.0,572.0,619.0,555.0,609.0,735.0,747.0
Смолян,Чепеларе,Female,60.0,67.0,70.0,57.0,55.0,67.0,98.0
Смолян,Чепеларе,Male,52.0,61.0,73.0,64.0,65.0,89.0,93.0
Смолян,Чепеларе,Total,112.0,128.0,143.0,121.0,120.0,156.0,191.0
София,Антон,Female,17.0,14.0,20.0,16.0,9.0,13.0,22.0
София,Антон,Male,13.0,11.0,9.0,16.0,14.0,15.0,21.0
София,Антон,Total,30.0,25.0,29.0,32.0,23.0,28.0,43.0
София,Божурище,Female,53.0,72.0,56.0,62.0,85.0,80.0,89.0
София,Божурище,Male,72.0,66.0,67.0,74.0,78.0,94.0,115.0
София,Божурище,Total,125.0,138.0,123.0,136.0,163.0,174.0,204.0
София,Ботевград,Female,234.0,230.0,239.0,247.0,239.0,299.0,317.0
София,Ботевград,Male,261.0,248.0,267.0,292.0,251.0,339.0,373.0
София,Ботевград,Total,495.0,478.0,506.0,539.0,490.0,638.0,690.0
София,Годеч,Female,55.0,52.0,51.0,57.0,45.0,63.0,73.0
София,Годеч,Male,61.0,76.0,62.0,68.0,62.0,55.0,76.0
София,Годеч,Total,116.0,128.0,113.0,125.0,107.0,118.0,149.0
София,Горна Малина,Female,60.0,68.0,58.0,93.0,60.0,61.0,97.0
София,Горна Малина,Male,79.0,93.0,83.0,78.0,78.0,97.0,105.0
София,Горна Малина,Total,139.0,161.0,141.0,171.0,138.0,158.0,202.0
София,Долна баня,Female,30.0,38.0,36.0,36.0,29.0,45.0,48.0
София,Долна баня,Male,20.0,48.0,44.0,29.0,37.0,58.0,46.0
София,Долна баня,Total,50.0,86.0,80.0,65.0,66.0,103.0,94.0
София,Драгоман,Female,62.0,75.0,47.0,49.0,60.0,63.0,58.0
София,Драгоман,Male,74.0,89.0,68.0,76.0,66.0,63.0,102.0
София,Драгоман,Total,136.0,164.0,115.0,125.0,126.0,126.0,160.0
София,Елин Пелин,Female,186.0,176.0,176.0,177.0,173.0,211.0,267.0
София,Елин Пелин,Male,215.0,198.0,221.0,205.0,200.0,269.0,295.0
София,Елин Пелин,Total,401.0,374.0,397.0,382.0,373.0,480.0,562.0
София,Етрополе,Female,88.0,100.0,93.0,94.0,84.0,108.0,131.0
София,Етрополе,Male,101.0,92.0,118.0,106.0,104.0,122.0,126.0
София,Етрополе,Total,189.0,192.0,211.0,200.0,188.0,230.0,257.0
София,Златица,Female,39.0,39.0,45.0,38.0,32.0,41.0,53.0
София,Златица,Male,42.0,43.0,58.0,43.0,46.0,63.0,63.0
София,Златица,Total,81.0,82.0,103.0,81.0,78.0,104.0,116.0
София,Ихтиман,Female,114.0,151.0,143.0,126.0,131.0,139.0,152.0
София,Ихтиман,Male,174.0,148.0,145.0,160.0,145.0,166.0,190.0
София,Ихтиман,Total,288.0,299.0,288.0,286.0,276.0,305.0,342.0
София,Копривщица,Female,17.0,21.0,20.0,23.0,19.0,22.0,28.0
София,Копривщица,Male,24.0,23.0,17.0,26.0,19.0,25.0,22.0
София,Копривщица,Total,41.0,44.0,37.0,49.0,38.0,47.0,50.0
София,Костенец,Female,109.0,135.0,108.0,106.0,93.0,101.0,141.0
София,Костенец,Male,95.0,98.0,108.0,127.0,104.0,131.0,136.0
София,Костенец,Total,204.0,233.0,216.0,233.0,197.0,232.0,277.0
София,Костинброд,Female,130.0,135.0,139.0,131.0,132.0,135.0,195.0
София,Костинброд,Male,166.0,145.0,131.0,149.0,168.0,209.0,202.0
София,Костинброд,Total,296.0,280.0,270.0,280.0,300.0,344.0,397.0
София,Мирково,Female,50.0,24.0,36.0,25.0,24.0,35.0,32.0
София,Мирково,Male,36.0,32.0,38.0,24.0,28.0,38.0,35.0
София,Мирково,Total,86.0,56.0,74.0,49.0,52.0,73.0,67.0
София,Пирдоп,Female,50.0,63.0,66.0,63.0,52.0,75.0,74.0
София,Пирдоп,Male,65.0,77.0,84.0,64.0,88.0,86.0,93.0
София,Пирдоп,Total,115.0,140.0,150.0,127.0,140.0,161.0,167.0
София,Правец,Female,50.0,61.0,54.0,55.0,64.0,51.0,74.0
София,Правец,Male,63.0,64.0,65.0,58.0,65.0,75.0,84.0
София,Правец,Total,113.0,125.0,119.0,113.0,129.0,126.0,158.0
София,Самоков,Female,344.0,291.0,313.0,298.0,293.0,354.0,438.0
София,Самоков,Male,338.0,334.0,331.0,320.0,313.0,379.0,462.0
София,Самоков,Total,682.0,625.0,644.0,618.0,606.0,733.0,900.0
София,Своге,Female,223.0,197.0,202.0,212.0,226.0,233.0,262.0
София,Своге,Male,216.0,213.0,226.0,197.0,244.0,268.0,351.0
София,Своге,Total,439.0,410.0,428.0,409.0,470.0,501.0,613.0
София,Сливница,Female,83.0,85.0,90.0,68.0,66.0,74.0,123.0
София,Сливница,Male,90.0,96.0,98.0,102.0,74.0,112.0,150.0
София,Сливница,Total,173.0,181.0,188.0,170.0,140.0,186.0,273.0
София,Чавдар,Female,12.0,17.0,13.0,15.0,18.0,16.0,13.0
София,Чавдар,Male,7.0,12.0,15.0,14.0,18.0,16.0,17.0
София,Чавдар,Total,19.0,29.0,28.0,29.0,36.0,32.0,30.0
София,Челопеч,Female,14.0,9.0,14.0,11.0,7.0,11.0,16.0
София,Челопеч,Male,13.0,11.0,15.0,16.0,20.0,16.0,18.0
София,Челопеч,Total,27.0,20.0,29.0,27.0,27.0,27.0,34.0
София (столица),Столична,Female,7996.0,7903.0,7823.0,7894.0,7955.0,8597.0,10773.0
София (столица),Столична,Male,7690.0,7620.0,7554.0,7638.0,7680.0,9124.0,11137.0
София (столица),Столична,Total,15686.0,15523.0,15377.0,15532.0,15635.0,17721.0,21910.0
