Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Бургас,Средец,Total,323.0,286.0,307.0,314.0,318.0,332.0,362.0
Бургас,Сунгурларе,Female,124.0,130.0,122.0,110.0,116.0,129.0,145.0
Бургас,Сунгурларе,Male,135.0,112.0,142.0,120.0,127.0,134.0,149.0
Бургас,Сунгурларе,Total,259.0,242.0,264.0,230.0,243.0,263.0,294.0
Бургас,Царево,Female,68.0,71.0,73.0,80.0,68.0,52.0,80.0
Бургас,Царево,Male,72.0,70.0,88.0,65.0,90.0,74.0,98.0
Бургас,Царево,Total,140.0,141.0,161.0,145.0,158.0,126.0,178.0
Варна,Аврен,Female,91.0,90.0,79.0,84.0,82.0,77.0,111.0
Варна,Аврен,Male,90.0,107.0,102.0,102.0,83.0,127.0,140.0
Варна,Аврен,Total,181.0,197.0,181.0,186.0,165.0,204.0,251.0
Варна,Аксаково,Female,156.0,143.0,191.0,138.0,133.0,185.0,212.0
Варна,Аксаково,Male,151.0,185.0,202.0,201.0,172.0,215.0,252.0
Варна,Аксаково,Total,307.0,328.0,393.0,339.0,305.0,400.0,464.0
Варна,Белослав,Female,69.0,54.0,78.0,69.0,80.0,85.0,107.0
Варна,Белослав,Male,95.0,91.0,76.0,108.0,81.0,97.0,112.0
Варна,Белослав,Total,164.0,145.0,154.0,177.0,161.0,182.0,219.0
Варна,Бяла,Female,38.0,34.0,33.0,30.0,35.0,39.0,41.0
Варна,Бяла,Male,34.0,49.0,41.0,42.0,41.0,44.0,54.0
Варна,Бяла,Total,72.0,83.0,74.0,72.0,76.0,83.0,95.0
Варна,Варна,Female,1732.0,1786.0,1767.0,1922.0,1797.0,2133.0,2719.0
Варна,Варна,Male,2004.0,2020.0,1944.0,1982.0,1972.0,2257.0,2779.0
Варна,Варна,Total,3736.0,3806.0,3711.0,3904.0,3769.0,4390.0,5498.0
Варна,Ветрино,Female,73.0,67.0,67.0,75.0,58.0,65.0,86.0
Варна,Ветрино,Male,86.0,71.0,85.0,64.0,72.0,67.0,89.0
Варна,Ветрино,Total,159.0,138.0,152.0,139.0,130.0,132.0,175.0
Варна,Вълчи дол,Female,105.0,108.0,105.0,107.0,112.0,123.0,134.0
Варна,Вълчи дол,Male,121.0,114.0,149.0,126.0,118.0,134.0,118.0
Варна,Вълчи дол,Total,226.0,222.0,254.0,233.0,230.0,257.0,252.0
Варна,Девня,Female,65.0,65.0,79.0,69.0,56.0,72.0,103.0
Варна,Девня,Male,61.0,65.0,68.0,65.0,70.0,73.0,91.0
Варна,Девня,Total,126.0,130.0,147.0,134.0,126.0,145.0,194.0
Варна,Долни чифлик,Female,130.0,156.0,139.0,140.0,131.0,157.0,166.0
Варна,Долни чифлик,Male,156.0,153.0,146.0,144.0,164.0,166.0,198.0
Варна,Долни чифлик,Total,286.0,309.0,285.0,284.0,295.0,323.0,364.0
Варна,Дългопол,Female,95.0,116.0,115.0,94.0,105.0,103.0,144.0
Варна,Дългопол,Male,130.0,124.0,131.0,125.0,130.0,142.0,177.0
Варна,Дългопол,Total,225.0,240.0,246.0,219.0,235.0,245.0,321.0
Варна,Провадия,Female,194.0,189.0,161.0,164.0,176.0,188.0,225.0
Варна,Провадия,Male,208.0,180.0,178.0,191.0,181.0,226.0,274.0
Варна,Провадия,Total,402.0,369.0,339.0,355.0,357.0,414.0,499.0
Варна,Суворово,Female,68.0,65.0,72.0,74.0,60.0,67.0,84.0
Варна,Суворово,Male,78.0,81.0,87.0,85.0,81.0,88.0,90.0
Варна,Суворово,Total,146.0,146.0,159.0,159.0,141.0,155.0,174.0
Велико Търново,Велико Търново,Female,516.0,520.0,540.0,542.0,542.0,573.0,745.0
Велико Търново,Велико Търново,Male,609.0,580.0,588.0,593.0,608.0,686.0,886.0
Велико Търново,Велико Търново,Total,1125.0,1100.0,1128.0,1135.0,1150.0,1259.0,1631.0
Велико Търново,Горна Оряховица,Female,354.0,368.0,340.0,332.0,357.0,391.0,486.0
Велико Търново,Горна Оряховица,Male,353.0,388.0,408.0,365.0,351.0,427.0,544.0
Велико Търново,Горна Оряховица,Total,707.0,756.0,748.0,697.0,708.0,818.0,1030.0
Велико Търново,Елена,Female,84.0,79.0,81.0,89.0,82.0,88.0,92.0
Велико Търново,Елена,Male,90.0,88.0,116.0,77.0,91.0,90.0,107.0
Велико Търново,Елена,Total,174.0,167.0,197.0,166.0,173.0,178.0,199.0
Велико Търново,Златарица,Female,43.0,31.0,41.0,35.0,39.0,47.0,55.0
Велико Търново,Златарица,Male,40.0,56.0,52.0,43.0,42.0,52.0,57.0
Велико Търново,Златарица,Total,83.0,87.0,93.0,78.0,81.0,99.0,112.0
Велико Търново,Лясковец,Female,132.0,114.0,144.0,157.0,127.0,158.0,189.0
Велико Търново,Лясковец,Male,116.0,137.0,143.0,143.0,134.0,162.0,166.0
Велико Търново,Лясковец,Total,248.0,251.0,287.0,300.0,261.0,320.0,355.0
Велико Търново,Павликени,Female,252.0,240.0,270.0,275.0,270.0,202.0,286.0
Велико Търново,Павликени,Male,254.0,241.0,235.0,232.0,236.0,267.0,329.0
Велико Търново,Павликени,Total,506.0,481.0,505.0,507.0,506.0,469.0,615.0
Велико Търново,Полски Тръмбеш,Female,134.0,141.0,149.0,150.0,132.0,158.0,203.0
Велико Търново,Полски Тръмбеш,Male,175.0,154.0,187.0,170.0,155.0,165.0,197.0
Велико Търново,Полски Тръмбеш,Total,309.0,295.0,336.0,320.0,287.0,323.0,400.0
Велико Търново,Свищов,Female,312.0,305.0,319.0,304.0,301.0,344.0,473.0
Велико Търново,Свищов,Male,371.0,351.0,327.0,340.0,333.0,384.0,413.0
Велико Търново,Свищов,Total,683.0,656.0,646.0,644.0,634.0,728.0,886.0
