Location,Age,Sex,2017,2018,2019,avg_population
Varna,(85-89),Female,3849.0,4027.0,4236.0,4037.33
Varna,(85-89),Male,2035.0,2062.0,2081.0,2059.33
Varna,(85-89),Total,5884.0,6089.0,6317.0,6096.67
Varna,(90+),Female,1264.0,1309.0,1374.0,1315.67
Varna,(90+),Male,571.0,597.0,632.0,600.0
Varna,(90+),Total,1835.0,1906.0,2006.0,1915.67
Veliko Tarnovo,(0-4),Female,4903.0,4788.0,4613.0,4768.0
Veliko Tarnovo,(0-4),Male,5196.0,5035.0,4834.0,5021.67
Veliko Tarnovo,(0-4),Total,10099.0,9823.0,9447.0,9789.67
Veliko Tarnovo,(10-14),Female,4785.0,4810.0,4862.0,4819.0
Veliko Tarnovo,(10-14),Male,5103.0,5119.0,5201.0,5141.0
Veliko Tarnovo,(10-14),Total,9888.0,9929.0,10063.0,9960.0
Veliko Tarnovo,(15-19),Female,5049.0,5048.0,4967.0,5021.33
Veliko Tarnovo,(15-19),Male,5185.0,5116.0,5133.0,5144.67
Veliko Tarnovo,(15-19),Total,10234.0,10164.0,10100.0,10166.0
Veliko Tarnovo,(20-24),Female,5717.0,5518.0,5401.0,5545.33
Veliko Tarnovo,(20-24),Male,5907.0,5527.0,5421.0,5618.33
Veliko Tarnovo,(20-24),Total,11624.0,11045.0,10822.0,11163.67
Veliko Tarnovo,(25-29),Female,9600.0,8482.0,7511.0,8531.0
Veliko Tarnovo,(25-29),Male,9743.0,8880.0,7796.0,8806.33
Veliko Tarnovo,(25-29),Total,19343.0,17362.0,15307.0,17337.33
Veliko Tarnovo,(30-34),Female,7166.0,7550.0,7834.0,7516.67
Veliko Tarnovo,(30-34),Male,7916.0,8311.0,8629.0,8285.33
Veliko Tarnovo,(30-34),Total,15082.0,15861.0,16463.0,15802.0
Veliko Tarnovo,(35-39),Female,7225.0,7053.0,6918.0,7065.33
Veliko Tarnovo,(35-39),Male,7712.0,7495.0,7447.0,7551.33
Veliko Tarnovo,(35-39),Total,14937.0,14548.0,14365.0,14616.67
Veliko Tarnovo,(40-44),Female,8220.0,8188.0,8005.0,8137.67
Veliko Tarnovo,(40-44),Male,8796.0,8677.0,8372.0,8615.0
Veliko Tarnovo,(40-44),Total,17016.0,16865.0,16377.0,16752.67
Veliko Tarnovo,(45-49),Female,7949.0,7828.0,7773.0,7850.0
Veliko Tarnovo,(45-49),Male,8296.0,8299.0,8515.0,8370.0
Veliko Tarnovo,(45-49),Total,16245.0,16127.0,16288.0,16220.0
Veliko Tarnovo,(5-9),Female,5077.0,5031.0,5013.0,5040.33
Veliko Tarnovo,(5-9),Male,5334.0,5256.0,5217.0,5269.0
Veliko Tarnovo,(5-9),Total,10411.0,10287.0,10230.0,10309.33
Veliko Tarnovo,(50-54),Female,7434.0,7464.0,7583.0,7493.67
Veliko Tarnovo,(50-54),Male,7564.0,7543.0,7543.0,7550.0
Veliko Tarnovo,(50-54),Total,14998.0,15007.0,15126.0,15043.67
Veliko Tarnovo,(55-59),Female,8318.0,8111.0,7999.0,8142.67
Veliko Tarnovo,(55-59),Male,7996.0,7914.0,7784.0,7898.0
Veliko Tarnovo,(55-59),Total,16314.0,16025.0,15783.0,16040.67
Veliko Tarnovo,(60-64),Female,9257.0,9072.0,8726.0,9018.33
Veliko Tarnovo,(60-64),Male,8384.0,8158.0,7911.0,8151.0
Veliko Tarnovo,(60-64),Total,17641.0,17230.0,16637.0,17169.33
Veliko Tarnovo,(65-69),Female,9694.0,9434.0,9259.0,9462.33
Veliko Tarnovo,(65-69),Male,7908.0,7692.0,7569.0,7723.0
Veliko Tarnovo,(65-69),Total,17602.0,17126.0,16828.0,17185.33
Veliko Tarnovo,(70-74),Female,8848.0,9007.0,9108.0,8987.67
Veliko Tarnovo,(70-74),Male,6435.0,6595.0,6665.0,6565.0
Veliko Tarnovo,(70-74),Total,15283.0,15602.0,15773.0,15552.67
Veliko Tarnovo,(75-79),Female,6371.0,6555.0,6785.0,6570.33
Veliko Tarnovo,(75-79),Male,3998.0,4181.0,4295.0,4158.0
Veliko Tarnovo,(75-79),Total,10369.0,10736.0,11080.0,10728.33
Veliko Tarnovo,(80-84),Female,4620.0,4480.0,4403.0,4501.0
Veliko Tarnovo,(80-84),Male,2542.0,2429.0,2382.0,2451.0
Veliko Tarnovo,(80-84),Total,7162.0,6909.0,6785.0,6952.0
Veliko Tarnovo,(85-89),Female,2484.0,2584.0,2626.0,2564.67
Veliko Tarnovo,(85-89),Male,1300.0,1312.0,1324.0,1312.0
Veliko Tarnovo,(85-89),Total,3784.0,3896.0,3950.0,3876.67
Veliko Tarnovo,(90+),Female,760.0,789.0,781.0,776.67
Veliko Tarnovo,(90+),Male,340.0,377.0,363.0,360.0
Veliko Tarnovo,(90+),Total,1100.0,1166.0,1144.0,1136.67
Vidin,(0-4),Female,1433.0,1396.0,1356.0,1395.0
Vidin,(0-4),Male,1507.0,1533.0,1438.0,1492.67
Vidin,(0-4),Total,2940.0,2929.0,2794.0,2887.67
Vidin,(10-14),Female,1850.0,1829.0,1818.0,1832.33
Vidin,(10-14),Male,2025.0,1965.0,1944.0,1978.0
Vidin,(10-14),Total,3875.0,3794.0,3762.0,3810.33
Vidin,(15-19),Female,1864.0,1860.0,1809.0,1844.33
Vidin,(15-19),Male,1887.0,1910.0,1901.0,1899.33
Vidin,(15-19),Total,3751.0,3770.0,3710.0,3743.67
Vidin,(20-24),Female,1506.0,1342.0,1276.0,1374.67
Vidin,(20-24),Male,1628.0,1407.0,1367.0,1467.33
Vidin,(20-24),Total,3134.0,2749.0,2643.0,2842.0
Vidin,(25-29),Female,1677.0,1638.0,1534.0,1616.33
Vidin,(25-29),Male,2016.0,1955.0,1765.0,1912.0
Vidin,(25-29),Total,3693.0,3593.0,3299.0,3528.33
Vidin,(30-34),Female,2020.0,1918.0,1858.0,1932.0
Vidin,(30-34),Male,2313.0,2196.0,2105.0,2204.67
Vidin,(30-34),Total,4333.0,4114.0,3963.0,4136.67
Vidin,(35-39),Female,2300.0,2174.0,2037.0,2170.33
Vidin,(35-39),Male,2566.0,2433.0,2349.0,2449.33
Vidin,(35-39),Total,4866.0,4607.0,4386.0,4619.67
Vidin,(40-44),Female,2964.0,2843.0,2684.0,2830.33
Vidin,(40-44),Male,3292.0,3165.0,2977.0,3144.67
Vidin,(40-44),Total,6256.0,6008.0,5661.0,5975.0
Vidin,(45-49),Female,3214.0,3206.0,3095.0,3171.67
Vidin,(45-49),Male,3635.0,3549.0,3509.0,3564.33
Vidin,(45-49),Total,6849.0,6755.0,6604.0,6736.0
Vidin,(5-9),Female,1745.0,1726.0,1683.0,1718.0
Vidin,(5-9),Male,1858.0,1797.0,1736.0,1797.0
Vidin,(5-9),Total,3603.0,3523.0,3419.0,3515.0
Vidin,(50-54),Female,2665.0,2690.0,2852.0,2735.67
Vidin,(50-54),Male,3024.0,3091.0,3178.0,3097.67
Vidin,(50-54),Total,5689.0,5781.0,6030.0,5833.33
Vidin,(55-59),Female,2838.0,2847.0,2828.0,2837.67
Vidin,(55-59),Male,3121.0,3079.0,3061.0,3087.0
Vidin,(55-59),Total,5959.0,5926.0,5889.0,5924.67
Vidin,(60-64),Female,3369.0,3158.0,2975.0,3167.33
Vidin,(60-64),Male,3151.0,3010.0,2899.0,3020.0
Vidin,(60-64),Total,6520.0,6168.0,5874.0,6187.33
Vidin,(65-69),Female,4431.0,4145.0,3774.0,4116.67
Vidin,(65-69),Male,3471.0,3275.0,3094.0,3280.0
Vidin,(65-69),Total,7902.0,7420.0,6868.0,7396.67
Vidin,(70-74),Female,4067.0,4160.0,4275.0,4167.33
Vidin,(70-74),Male,3062.0,3140.0,3178.0,3126.67
Vidin,(70-74),Total,7129.0,7300.0,7453.0,7294.0
Vidin,(75-79),Female,2763.0,2846.0,2972.0,2860.33
Vidin,(75-79),Male,1796.0,1872.0,1911.0,1859.67
Vidin,(75-79),Total,4559.0,4718.0,4883.0,4720.0
Vidin,(80-84),Female,2207.0,2158.0,2066.0,2143.67
Vidin,(80-84),Male,1239.0,1192.0,1192.0,1207.67
Vidin,(80-84),Total,3446.0,3350.0,3258.0,3351.33
Vidin,(85-89),Female,1173.0,1148.0,1140.0,1153.67
Vidin,(85-89),Male,641.0,585.0,566.0,597.33
Vidin,(85-89),Total,1814.0,1733.0,1706.0,1751.0
Vidin,(90+),Female,430.0,432.0,434.0,432.0
Vidin,(90+),Male,179.0,195.0,199.0,191.0
Vidin,(90+),Total,609.0,627.0,633.0,623.0
Vratsa,(0-4),Female,3352.0,3360.0,3323.0,3345.0
Vratsa,(0-4),Male,3643.0,3677.0,3525.0,3615.0
Vratsa,(0-4),Total,6995.0,7037.0,6848.0,6960.0
Vratsa,(10-14),Female,3793.0,3786.0,3787.0,3788.67
Vratsa,(10-14),Male,3930.0,3929.0,3925.0,3928.0
Vratsa,(10-14),Total,7723.0,7715.0,7712.0,7716.67
Vratsa,(15-19),Female,3879.0,3849.0,3709.0,3812.33
Vratsa,(15-19),Male,4080.0,4069.0,3906.0,4018.33
Vratsa,(15-19),Total,7959.0,7918.0,7615.0,7830.67
Vratsa,(20-24),Female,3316.0,3076.0,3043.0,3145.0
Vratsa,(20-24),Male,3654.0,3320.0,3208.0,3394.0
Vratsa,(20-24),Total,6970.0,6396.0,6251.0,6539.0
Vratsa,(25-29),Female,3850.0,3747.0,3586.0,3727.67
Vratsa,(25-29),Male,4463.0,4276.0,4007.0,4248.67
Vratsa,(25-29),Total,8313.0,8023.0,7593.0,7976.33
Vratsa,(30-34),Female,4236.0,4146.0,4035.0,4139.0
Vratsa,(30-34),Male,4829.0,4762.0,4623.0,4738.0
Vratsa,(30-34),Total,9065.0,8908.0,8658.0,8877.0
Vratsa,(35-39),Female,4791.0,4579.0,4330.0,4566.67
Vratsa,(35-39),Male,5231.0,5005.0,4861.0,5032.33
Vratsa,(35-39),Total,10022.0,9584.0,9191.0,9599.0
Vratsa,(40-44),Female,5780.0,5502.0,5334.0,5538.67
Vratsa,(40-44),Male,6200.0,5966.0,5775.0,5980.33
Vratsa,(40-44),Total,11980.0,11468.0,11109.0,11519.0
Vratsa,(45-49),Female,6207.0,6072.0,5865.0,6048.0
Vratsa,(45-49),Male,7010.0,6691.0,6408.0,6703.0
Vratsa,(45-49),Total,13217.0,12763.0,12273.0,12751.0
Vratsa,(5-9),Female,3694.0,3592.0,3496.0,3594.0
Vratsa,(5-9),Male,3960.0,3851.0,3888.0,3899.67
Vratsa,(5-9),Total,7654.0,7443.0,7384.0,7493.67
Vratsa,(50-54),Female,5587.0,5656.0,5789.0,5677.33
Vratsa,(50-54),Male,6117.0,6242.0,6387.0,6248.67
Vratsa,(50-54),Total,11704.0,11898.0,12176.0,11926.0
Vratsa,(55-59),Female,5895.0,5818.0,5720.0,5811.0
Vratsa,(55-59),Male,6314.0,6251.0,6119.0,6228.0
Vratsa,(55-59),Total,12209.0,12069.0,11839.0,12039.0
Vratsa,(60-64),Female,6397.0,6220.0,6027.0,6214.67
Vratsa,(60-64),Male,5877.0,5814.0,5705.0,5798.67
Vratsa,(60-64),Total,12274.0,12034.0,11732.0,12013.33
Vratsa,(65-69),Female,6819.0,6510.0,6259.0,6529.33
Vratsa,(65-69),Male,5666.0,5490.0,5292.0,5482.67
Vratsa,(65-69),Total,12485.0,12000.0,11551.0,12012.0
Vratsa,(70-74),Female,6421.0,6528.0,6672.0,6540.33
Vratsa,(70-74),Male,4582.0,4657.0,4758.0,4665.67
Vratsa,(70-74),Total,11003.0,11185.0,11430.0,11206.0
Vratsa,(75-79),Female,4306.0,4500.0,4629.0,4478.33
Vratsa,(75-79),Male,2790.0,2877.0,2908.0,2858.33
Vratsa,(75-79),Total,7096.0,7377.0,7537.0,7336.67
Vratsa,(80-84),Female,3350.0,3160.0,3114.0,3208.0
Vratsa,(80-84),Male,1886.0,1813.0,1750.0,1816.33
Vratsa,(80-84),Total,5236.0,4973.0,4864.0,5024.33
Vratsa,(85-89),Female,1867.0,1901.0,1849.0,1872.33
Vratsa,(85-89),Male,982.0,963.0,949.0,964.67
Vratsa,(85-89),Total,2849.0,2864.0,2798.0,2837.0
Vratsa,(90+),Female,646.0,653.0,669.0,656.0
Vratsa,(90+),Male,245.0,241.0,240.0,242.0
Vratsa,(90+),Total,891.0,894.0,909.0,898.0
Gabrovo,(0-4),Female,1809.0,1817.0,1845.0,1823.67
Gabrovo,(0-4),Male,1993.0,1974.0,1943.0,1970.0
Gabrovo,(0-4),Total,3802.0,3791.0,3788.0,3793.67
Gabrovo,(10-14),Female,2140.0,2165.0,2161.0,2155.33
Gabrovo,(10-14),Male,2238.0,2291.0,2280.0,2269.67
Gabrovo,(10-14),Total,4378.0,4456.0,4441.0,4425.0
Gabrovo,(15-19),Female,2040.0,1990.0,1967.0,1999.0
Gabrovo,(15-19),Male,2150.0,2149.0,2106.0,2135.0
Gabrovo,(15-19),Total,4190.0,4139.0,4073.0,4134.0
Gabrovo,(20-24),Female,1751.0,1652.0,1587.0,1663.33
Gabrovo,(20-24),Male,2100.0,1800.0,1717.0,1872.33
Gabrovo,(20-24),Total,3851.0,3452.0,3304.0,3535.67
Gabrovo,(25-29),Female,2374.0,2246.0,2049.0,2223.0
Gabrovo,(25-29),Male,3092.0,2918.0,2671.0,2893.67
Gabrovo,(25-29),Total,5466.0,5164.0,4720.0,5116.67
Gabrovo,(30-34),Female,2682.0,2622.0,2597.0,2633.67
Gabrovo,(30-34),Male,3196.0,3174.0,3120.0,3163.33
Gabrovo,(30-34),Total,5878.0,5796.0,5717.0,5797.0
Gabrovo,(35-39),Female,3146.0,2964.0,2804.0,2971.33
Gabrovo,(35-39),Male,3552.0,3372.0,3257.0,3393.67
Gabrovo,(35-39),Total,6698.0,6336.0,6061.0,6365.0
Gabrovo,(40-44),Female,3965.0,3896.0,3710.0,3857.0
Gabrovo,(40-44),Male,4305.0,4207.0,4016.0,4176.0
Gabrovo,(40-44),Total,8270.0,8103.0,7726.0,8033.0
Gabrovo,(45-49),Female,3921.0,3899.0,3913.0,3911.0
Gabrovo,(45-49),Male,4194.0,4185.0,4185.0,4188.0
Gabrovo,(45-49),Total,8115.0,8084.0,8098.0,8099.0
Gabrovo,(5-9),Female,2174.0,2141.0,2061.0,2125.33
Gabrovo,(5-9),Male,2278.0,2206.0,2187.0,2223.67
Gabrovo,(5-9),Total,4452.0,4347.0,4248.0,4349.0
Gabrovo,(50-54),Female,3799.0,3758.0,3782.0,3779.67
Gabrovo,(50-54),Male,3812.0,3811.0,3866.0,3829.67
Gabrovo,(50-54),Total,7611.0,7569.0,7648.0,7609.33
Gabrovo,(55-59),Female,4063.0,4071.0,4014.0,4049.33
Gabrovo,(55-59),Male,3895.0,3895.0,3899.0,3896.33
Gabrovo,(55-59),Total,7958.0,7966.0,7913.0,7945.67
Gabrovo,(60-64),Female,4451.0,4274.0,4123.0,4282.67
Gabrovo,(60-64),Male,3993.0,3886.0,3774.0,3884.33
Gabrovo,(60-64),Total,8444.0,8160.0,7897.0,8167.0
Gabrovo,(65-69),Female,5392.0,5176.0,4859.0,5142.33
Gabrovo,(65-69),Male,4069.0,3931.0,3733.0,3911.0
Gabrovo,(65-69),Total,9461.0,9107.0,8592.0,9053.33
Gabrovo,(70-74),Female,4940.0,5103.0,5309.0,5117.33
Gabrovo,(70-74),Male,3499.0,3544.0,3636.0,3559.67
Gabrovo,(70-74),Total,8439.0,8647.0,8945.0,8677.0
Gabrovo,(75-79),Female,3658.0,3655.0,3708.0,3673.67
Gabrovo,(75-79),Male,2322.0,2333.0,2357.0,2337.33
Gabrovo,(75-79),Total,5980.0,5988.0,6065.0,6011.0
Gabrovo,(80-84),Female,2784.0,2747.0,2683.0,2738.0
Gabrovo,(80-84),Male,1580.0,1529.0,1509.0,1539.33
Gabrovo,(80-84),Total,4364.0,4276.0,4192.0,4277.33
Gabrovo,(85-89),Female,1390.0,1505.0,1596.0,1497.0
Gabrovo,(85-89),Male,760.0,790.0,815.0,788.33
Gabrovo,(85-89),Total,2150.0,2295.0,2411.0,2285.33
Gabrovo,(90+),Female,532.0,510.0,532.0,524.67
Gabrovo,(90+),Male,215.0,218.0,227.0,220.0
Gabrovo,(90+),Total,747.0,728.0,759.0,744.67
Dobrich,(0-4),Female,3640.0,3516.0,3436.0,3530.67
Dobrich,(0-4),Male,3805.0,3703.0,3618.0,3708.67
Dobrich,(0-4),Total,7445.0,7219.0,7054.0,7239.33
Dobrich,(10-14),Female,4284.0,4302.0,4359.0,4315.0
